     Vibration        Wavenumber
        Nr             [1/cm] 
        1              187.91
        2              205.46
        3              388.86
        4              431.42
        5              519.26
        6              534.65
        7              551.15
        8              554.44
        9              674.32
       10              684.42
       11              810.99
       12              831.22
       13              853.11
       14              859.40
       15              886.26
       16              943.24
       17              992.57
       18             1022.38
       19             1076.47
       20             1079.61
       21             1097.35
       22             1116.22
       23             1117.47
       24             1123.82
       25             1194.72
       26             1245.24
       27             1273.38
       28             1286.96
       29             1311.90
       30             1373.27
       31             1389.70
       32             1477.47
       33             1489.62
       34             1543.58
       35             1623.99
       36             1626.84
       37             1684.55
       38             1784.06
       39             1806.81
       40             1846.19
       41             3348.79
       42             3351.30
       43             3353.60
       44             3358.97
       45             3369.66
       46             3372.47
       47             3383.86
       48             3385.83
